equipment_usage_id,time_id,date,day,day_name,month,year,site_name,region,latitude,longitude,equipment_name,equipment_type,manufacture,model,capacity,purchase_date,operating_hours,downtime_hours,fuel_consumption,maintenance_cost,created_at,created_by
29,23,2025-05-23,23,Friday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,262,17,1220,414944,2025-05-23 17:00:00,IoT
30,15,2025-05-15,15,Thursday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,260,15,1386,447740,2025-05-15 10:00:00,IoT
31,14,2025-05-14,14,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,306,13,2123,875452,2025-05-14 07:00:00,IoT
32,4,2025-05-04,4,Sunday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,349,24,1945,832118,2025-05-04 17:00:00,IoT
33,30,2025-05-30,30,Friday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,281,12,1520,674149,2025-05-30 11:00:00,IoT
34,21,2025-05-21,21,Wednesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,350,20,1866,744417,2025-05-21 10:00:00,IoT
35,13,2025-05-13,13,Tuesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,352,23,1665,825981,2025-05-13 07:00:00,IoT
36,22,2025-05-22,22,Thursday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,286,8,1209,445052,2025-05-22 10:00:00,IoT
37,7,2025-05-07,7,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,282,5,1415,472123,2025-05-07 08:00:00,IoT
38,10,2025-05-10,10,Saturday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,309,13,1469,359895,2025-05-10 16:00:00,IoT
39,29,2025-05-29,29,Thursday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,298,8,1596,680872,2025-05-29 08:00:00,IoT
40,27,2025-05-27,27,Tuesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,261,14,1424,361453,2025-05-27 12:00:00,IoT
41,22,2025-05-22,22,Thursday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,288,17,1656,749384,2025-05-22 18:00:00,IoT
42,8,2025-05-08,8,Thursday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,279,14,1700,845899,2025-05-08 09:00:00,IoT
43,22,2025-05-22,22,Thursday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,299,19,1444,600211,2025-05-22 14:00:00,IoT
44,14,2025-05-14,14,Wednesday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,311,4,1654,672560,2025-05-14 10:00:00,IoT
45,21,2025-05-21,21,Wednesday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,335,12,1652,820485,2025-05-21 07:00:00,IoT
46,3,2025-05-03,3,Saturday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,328,5,1862,627253,2025-05-03 12:00:00,IoT
47,30,2025-05-30,30,Friday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,326,4,1478,413982,2025-05-30 12:00:00,IoT
48,13,2025-05-13,13,Tuesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,315,10,1797,592784,2025-05-13 11:00:00,IoT
49,1,2025-05-01,1,Thursday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,333,7,1582,675788,2025-05-01 18:00:00,IoT
50,5,2025-05-05,5,Monday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,358,25,1841,622767,2025-05-05 18:00:00,IoT
51,16,2025-05-16,16,Friday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,240,9,1240,354981,2025-05-16 10:00:00,IoT
52,27,2025-05-27,27,Tuesday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,307,12,1416,379146,2025-05-27 18:00:00,IoT
53,8,2025-05-08,8,Thursday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,283,22,1461,720109,2025-05-08 16:00:00,IoT
54,15,2025-05-15,15,Thursday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,333,23,1527,781046,2025-05-15 06:00:00,IoT
55,17,2025-05-17,17,Saturday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,305,3,1536,752710,2025-05-17 12:00:00,IoT
56,20,2025-05-20,20,Tuesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,296,24,1606,698206,2025-05-20 16:00:00,IoT
57,3,2025-05-03,3,Saturday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,304,19,1869,835255,2025-05-03 14:00:00,IoT
58,18,2025-05-18,18,Sunday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,325,15,1540,422824,2025-05-18 16:00:00,IoT
59,12,2025-05-12,12,Monday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,302,10,1982,735420,2025-05-12 11:00:00,IoT
60,24,2025-05-24,24,Saturday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,313,4,2195,874335,2025-05-24 08:00:00,IoT
61,12,2025-05-12,12,Monday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,352,18,1689,793596,2025-05-12 17:00:00,IoT
62,21,2025-05-21,21,Wednesday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,264,12,1683,839955,2025-05-21 06:00:00,IoT
63,7,2025-05-07,7,Wednesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,316,19,1510,765463,2025-05-07 10:00:00,IoT
64,13,2025-05-13,13,Tuesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,286,14,1318,500193,2025-05-13 10:00:00,IoT
65,28,2025-05-28,28,Wednesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,342,14,1939,765260,2025-05-28 18:00:00,IoT
66,14,2025-05-14,14,Wednesday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,356,18,1997,877752,2025-05-14 08:00:00,IoT
67,23,2025-05-23,23,Friday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,359,5,1865,689838,2025-05-23 18:00:00,IoT
68,24,2025-05-24,24,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,307,12,1554,594611,2025-05-24 14:00:00,IoT
69,11,2025-05-11,11,Sunday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,300,17,1569,655000,2025-05-11 10:00:00,IoT
70,20,2025-05-20,20,Tuesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,280,4,1527,584311,2025-05-20 13:00:00,IoT
71,24,2025-05-24,24,Saturday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,295,4,1340,517633,2025-05-24 18:00:00,IoT
72,3,2025-05-03,3,Saturday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,351,24,1986,969004,2025-05-03 18:00:00,IoT
73,6,2025-05-06,6,Tuesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,314,7,1655,829728,2025-05-06 06:00:00,IoT
74,3,2025-05-03,3,Saturday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,346,4,1985,900725,2025-05-03 15:00:00,IoT
75,20,2025-05-20,20,Tuesday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,357,5,1989,895042,2025-05-20 13:00:00,IoT
76,19,2025-05-19,19,Monday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,286,11,1403,432414,2025-05-19 16:00:00,IoT
77,8,2025-05-08,8,Thursday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,327,15,1447,761642,2025-05-08 14:00:00,IoT
78,30,2025-05-30,30,Friday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,296,17,1598,636466,2025-05-30 17:00:00,IoT
79,7,2025-05-07,7,Wednesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,344,7,1851,654951,2025-05-07 07:00:00,IoT
80,28,2025-05-28,28,Wednesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,281,24,1527,446027,2025-05-28 18:00:00,IoT
81,28,2025-05-28,28,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,344,20,2163,734046,2025-05-28 14:00:00,IoT
82,10,2025-05-10,10,Saturday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,305,14,1681,691273,2025-05-10 18:00:00,IoT
83,17,2025-05-17,17,Saturday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,292,18,1435,624117,2025-05-17 18:00:00,IoT
84,1,2025-05-01,1,Thursday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,287,7,1439,560675,2025-05-01 14:00:00,IoT
85,20,2025-05-20,20,Tuesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,299,16,1501,750958,2025-05-20 14:00:00,IoT
86,25,2025-05-25,25,Sunday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,249,5,1264,433106,2025-05-25 16:00:00,IoT
87,15,2025-05-15,15,Thursday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,366,20,1976,767284,2025-05-15 18:00:00,IoT
88,21,2025-05-21,21,Wednesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,309,4,1533,826816,2025-05-21 14:00:00,IoT
89,27,2025-05-27,27,Tuesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,259,13,1355,393163,2025-05-27 08:00:00,IoT
90,30,2025-05-30,30,Friday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,282,11,1632,748923,2025-05-30 07:00:00,IoT
91,7,2025-05-07,7,Wednesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,275,22,1264,513845,2025-05-07 10:00:00,IoT
92,18,2025-05-18,18,Sunday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,261,24,1497,390421,2025-05-18 08:00:00,IoT
93,20,2025-05-20,20,Tuesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,283,5,1488,360798,2025-05-20 06:00:00,IoT
94,2,2025-05-02,2,Friday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,273,16,1307,551053,2025-05-02 15:00:00,IoT
95,20,2025-05-20,20,Tuesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,311,23,1560,786039,2025-05-20 10:00:00,IoT
96,10,2025-05-10,10,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,311,17,1675,812909,2025-05-10 10:00:00,IoT
97,3,2025-05-03,3,Saturday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,290,17,1512,717905,2025-05-03 13:00:00,IoT
98,7,2025-05-07,7,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,258,13,1360,575833,2025-05-07 17:00:00,IoT
99,24,2025-05-24,24,Saturday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,278,6,1489,669997,2025-05-24 14:00:00,IoT
100,11,2025-05-11,11,Sunday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,277,7,1436,635717,2025-05-11 09:00:00,IoT
101,4,2025-05-04,4,Sunday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,360,8,1796,769223,2025-05-04 09:00:00,IoT
102,27,2025-05-27,27,Tuesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,280,18,1297,550047,2025-05-27 08:00:00,IoT
103,17,2025-05-17,17,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,326,5,1457,660765,2025-05-17 06:00:00,IoT
104,13,2025-05-13,13,Tuesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,285,4,1410,585018,2025-05-13 06:00:00,IoT
105,10,2025-05-10,10,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,300,6,1346,490690,2025-05-10 06:00:00,IoT
106,14,2025-05-14,14,Wednesday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,346,4,1787,761421,2025-05-14 11:00:00,IoT
107,13,2025-05-13,13,Tuesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,264,5,1385,495024,2025-05-13 10:00:00,IoT
108,13,2025-05-13,13,Tuesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,318,24,1581,546654,2025-05-13 15:00:00,IoT
109,20,2025-05-20,20,Tuesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,266,13,1600,795663,2025-05-20 18:00:00,IoT
110,18,2025-05-18,18,Sunday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,272,19,1654,866926,2025-05-18 12:00:00,IoT
111,2,2025-05-02,2,Friday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,288,18,1582,674609,2025-05-02 18:00:00,IoT
112,17,2025-05-17,17,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,298,22,1631,673285,2025-05-17 11:00:00,IoT
113,11,2025-05-11,11,Sunday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,309,19,1453,576356,2025-05-11 14:00:00,IoT
114,18,2025-05-18,18,Sunday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,338,13,2043,708722,2025-05-18 11:00:00,IoT
115,22,2025-05-22,22,Thursday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,307,18,1457,413970,2025-05-22 15:00:00,IoT
116,9,2025-05-09,9,Friday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,269,8,1226,502967,2025-05-09 13:00:00,IoT
117,17,2025-05-17,17,Saturday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,348,21,1875,826980,2025-05-17 06:00:00,IoT
118,23,2025-05-23,23,Friday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,261,7,1612,764465,2025-05-23 12:00:00,IoT
119,14,2025-05-14,14,Wednesday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,286,4,1628,847257,2025-05-14 17:00:00,IoT
120,23,2025-05-23,23,Friday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,266,18,1487,435209,2025-05-23 16:00:00,IoT
121,17,2025-05-17,17,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,311,20,1835,829512,2025-05-17 11:00:00,IoT
122,12,2025-05-12,12,Monday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,333,10,2112,953849,2025-05-12 09:00:00,IoT
123,9,2025-05-09,9,Friday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,314,9,1752,701521,2025-05-09 17:00:00,IoT
